site,year,albedo,genotype,plot_unique,plantID,density,block,plot,x,y,emergence,first_flower,v_phen,last_phen_status,note_standard_phen,live_harvest,v_harvest,tillers,veg_mass,inflor_mass,seed_count_total,note_standard_harvest,seed_count,survived_to_flower,possible_neighbors,neighbors,prop_survived,new_neighbors,clim_dist,PC1,vwc_avg,temp_surv,temp_fecun
BA,2022,black,1,BA_4_4,Boise2022_1553,lo,4,4,11,3,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,0,0.13846153846153847,0.13846153846153847,6.031214786348471,4.278351863163583,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,1,BA_1_4,Boise2022_393,hi,1,4,10,3,Y,157,FG,Y,herbivory,Y,FB,1,0.087,0.188,88,NA,88,Y,38,15,0.35714285714285715,37.14285714285714,6.031214786348471,4.278351863163583,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,39,BA_2_4,Boise2022_745,lo,2,4,9,5,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,3,1,0.12195121951219512,1.1219512195121952,-0.4619735259371458,-2.214836449122034,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,1,BA_10_3,Boise2022_3864,hi,10,3,7,4,Y,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,58,14,0.2112676056338028,22.87323943661972,6.031214786348471,4.278351863163583,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,39,BA_4_4,Boise2022_1547,lo,4,4,10,2,Y,157,FG,Y,herbivory,Y,FG_FP,16,1.93,2.17,1276,NA,1276,Y,2,0,0.13846153846153847,0.27692307692307694,-0.4619735259371458,-2.214836449122034,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,16,BA_8_1,Boise2022_2812,lo,8,1,3,2,N,NA,NA,N,NA,N,NA,0,0,0,0,NA,0,N,2,0,0.25301204819277107,0.5060240963855421,3.353990268655884,1.6011273454709956,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,71,BA_7_2,Boise2022_2593,hi,7,2,10,3,Y,NA,NA,N,frost_heave,N,NA,0,0,0,0,NA,0,N,36,16,0.4823529411764706,46.87058823529412,4.2420206156136615,2.4891576924287735,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,39,BA_6_4,Boise2022_2383,hi,6,4,9,3,Y,143,FG,N,resurrection,N,NA,0,0,0,0,NA,0,N,44,15,0.3333333333333333,33.666666666666664,-0.4619735259371458,-2.214836449122034,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,1,BA_9_2,Boise2022_3356,hi,9,2,6,6,Y,158,FG,N,herbivory,N,NA,0,0,0,0,NA,0,N,62,25,0.3968253968253968,40.079365079365076,6.031214786348471,4.278351863163583,0.12451676241538462,5.665413523368422,8.608614848054055
BA,2022,black,51,BA_7_2,Boise2022_2502,hi,7,2,1,2,Y,158,FG,Y,herbivory,Y,FP,3,0.22,0.21,71,herbivory,71,Y,39,20,0.4823529411764706,49.423529411764704,3.4498662773999254,1.6970033542150376,0.12451676241538462,5.665413523368422,8.608614848054055
